area,inmueble,latitud,longitud,url,valor_publicado,fecha_registro,comprado,valor_compra,financiado,renta,fecha_compra,cuota
5200,Terreo En El Peñol,6.2614013,-75.2211356,https://apartamento.mercadolibre.com.co/MCO-1059440927-terreo-en-el-penol-_JM#position=25&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,280000000,12/04/2023,False,0,0,0,01/01/2000,0
175000,Finca El Peñol Vereda Concordia Se Vende,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-604903627-finca-el-penol-vereda-concordia-se-vende-_JM#position=33&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,3000000000,12/04/2023,False,0,0,0,01/01/2000,0
50000,Finca Lote En El Peñol,6.2199662,-75.2435307,https://lote-casalote.mercadolibre.com.co/MCO-1059376962-finca-lote-en-el-penol-_JM#position=32&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1300000000,12/04/2023,False,0,0,0,01/01/2000,0
8887,Lotes En Venta Vereda El Carmelo 815-1378,6.20305,-75.23571,https://lote-casalote.mercadolibre.com.co/MCO-825979158-lotes-en-venta-vereda-el-carmelo-815-1378-_JM#position=21&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,337128345,12/04/2023,False,0,0,0,01/01/2000,0
4500,Linda Finca En Venta Con Embalse En El Peñol,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-949062689-linda-finca-en-venta-con-embalse-en-el-penol-_JM#position=26&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,3200000000,12/04/2023,False,0,0,0,01/01/2000,0
2200,"Venta Hotel Casa Finca  En El Peñol _ Guatape, Antioquia",6.2381727,-75.2499962,https://inmueble.mercadolibre.com.co/MCO-1371737844-venta-hotel-casa-finca-en-el-penol-guatape-antioquia-_JM#position=28&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1300000000,12/04/2023,False,0,0,0,01/01/2000,0
11700,Moderna Finca En El Peñol Con Embalse Y Excelente Vista,6.91531,-75.72958,https://inmueble.mercadolibre.com.co/MCO-1206898983-moderna-finca-en-el-penol-con-embalse-y-excelente-vista-_JM#position=27&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,2100000000,12/04/2023,False,0,0,0,01/01/2000,0
2500,Venta  Casa Campestre  El Peñol (mls#238127),6.2199662,-75.2435307,https://casa.mercadolibre.com.co/MCO-1188178599-venta-casa-campestre-el-penol-mls238127-_JM#position=20&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1200000000,12/04/2023,False,0,0,0,01/01/2000,0
62549,Lote Para Desarrollo Hotelero De Gran Impacto,6.2412443,-75.2329159,https://lote-casalote.mercadolibre.com.co/MCO-999433068-lote-para-desarrollo-hotelero-de-gran-impacto-_JM#position=17&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,3500000000,12/04/2023,False,0,0,0,01/01/2000,0
8000,"Venta Y/o Arriendo Finca, El Pozo, El Peñol, Antioquia",6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-922578651-venta-yo-arriendo-finca-el-pozo-el-penol-antioquia-_JM#position=18&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,650000000,12/04/2023,False,0,0,0,01/01/2000,0
